segment_id,function_class,lane_number,speed_class,road_length,out_degree,trajectory_count,medium_speed,other_attrs_json
90000249878680,5,1,6,83,4,5,0,
1012767811,5,1,6,19,2,5,5,
4827761,5,1,6,56,3,5,4,
90001806009720,4,1,5,11,2,5,0,
90001291791290,5,1,6,21,1,5,6,
877290441,5,1,7,76,3,5,1,
748034951,5,1,6,31,3,5,5,
198832891,5,1,6,111,3,5,4,
187297821,5,1,7,116,2,5,9,
795462861,5,1,6,27,3,5,0,
90001890146381,5,1,6,80,3,5,0,
3935300,3,2,5,98,2,5,12,
90002045122800,5,2,6,24,3,5,2,
90000823013811,5,1,7,31,2,5,0,
90000920103120,5,1,6,10,2,5,8,
6023191801,5,1,6,60,2,5,6,
90000994772811,5,1,6,19,3,5,4,
433304161,5,1,6,27,2,5,3,
5272130,5,1,6,77,2,5,0,
90001427978140,5,1,6,130,2,5,8,
553167290,5,1,6,259,3,5,13,
879140070,5,1,6,28,3,5,9,
499114571,5,1,6,127,3,5,4,
90000815972891,5,1,7,26,3,5,12,
90000974967481,5,1,6,131,3,5,6,
90000310936361,5,1,6,73,1,5,6,
90001813294451,5,1,6,17,3,5,0,
878590080,5,1,6,1151,2,5,13,
90000246087281,5,1,6,76,3,5,0,
6071912001,5,1,6,81,4,5,6,
730608461,5,1,6,83,3,5,9,
857084031,5,1,6,481,2,5,14,
90002025316670,5,1,6,19,3,5,5,
5029381,5,1,6,21,3,5,1,
90002025418581,5,1,6,29,3,5,7,
90001756858730,5,1,6,71,3,5,5,
202116120,5,1,7,45,5,5,0,
192550131,5,1,6,181,2,5,7,
90000285039921,5,1,6,27,4,5,3,
2658600,5,1,6,46,3,5,5,
90000260751181,5,1,6,11,3,5,2,
90000573180670,5,1,6,68,3,5,0,
5749140,5,1,6,111,4,5,5,
878367350,5,1,6,21,4,5,0,
621747700,5,1,6,84,3,5,5,
90001692168001,5,1,6,77,2,5,12,
90000815532191,5,1,6,40,3,5,10,
90001426873441,5,1,6,111,3,5,6,
549079431,5,1,6,135,2,5,6,
6165450,5,1,6,109,2,5,9,
90000219775400,5,1,6,12,2,5,1,
647558760,5,1,6,165,2,5,0,
319098571,5,1,6,65,1,5,6,
90001690859030,5,1,6,122,2,5,7,
551370600,5,1,6,84,3,5,8,
183830930,5,1,6,22,3,5,3,
90000220406470,5,1,6,26,3,5,4,
90001963850680,5,1,6,26,3,5,12,
90000844461730,5,1,6,94,3,5,11,
4678600,5,1,6,160,2,5,1,
425723831,5,1,6,52,2,5,7,
90000220342490,5,1,6,107,3,5,0,
90000907254250,5,2,5,89,2,5,13,
90000235087440,5,1,6,27,3,5,8,
90000198872721,5,1,6,132,3,5,8,
193686890,5,1,6,106,2,5,3,
302522520,5,1,6,130,3,5,11,
713697340,5,1,6,59,4,5,0,
90000383908511,5,1,7,494,2,5,14,
146559620,5,1,6,10,2,5,1,
5377161,5,1,6,114,3,5,7,
90000120064980,5,1,6,31,3,5,7,
856259351,5,1,6,119,2,5,10,
